Competitor_ID,Vertical_Category,Primary_Skill,Primary_Skill_CPC_USD,Primary_Skill_PPC,#_of_Jobs
A,Development,WordPress Developers,46.47,32.0,863.0
A,Development,WordPress Developers,46.47,32.0,1171.0
A,Development,WordPress Developers,46.47,32.0,1799.0
A,Development,WordPress Developers,46.47,32.0,389.0
A,Development,WordPress Developers,46.47,32.0,2716.0
A,Development,WordPress Developers,46.47,32.0,222.0
A,Development,WordPress Developers,46.47,32.0,2456.0
A,Development,WordPress Developers,46.47,32.0,4048.0
A,Development,WordPress Developers,46.47,32.0,4113.0
A,Development,WordPress Developers,46.47,32.0,3502.0
A,Development,WordPress Developers,46.47,32.0,152.0
A,Development,WordPress Developers,46.47,32.0,2115.0
A,Development,Web Developers,22.33,36.0,1857.0
A,Development,Web Developers,22.33,36.0,1584.0
A,Development,Web Developers,22.33,36.0,1569.0
A,Development,Web Developers,22.33,36.0,4768.0
A,Development,Web Developers,22.33,36.0,3948.0
A,Development,Web Developers,22.33,36.0,1876.0
A,Development,Web Developers,22.33,36.0,458.0
A,Development,Web Developers,22.33,36.0,4509.0
A,Development,Web Developers,22.33,36.0,2841.0
A,Development,Web Developers,22.33,36.0,1707.0
A,Development,Web Developers,22.33,36.0,1498.0
A,Development,Web Developers,22.33,36.0,4789.0
A,Development,Vue JS Developers,118.58,31.0,3770.0
A,Development,Vue JS Developers,118.58,31.0,3532.0
A,Development,Vue JS Developers,118.58,31.0,4962.0
A,Development,Vue JS Developers,118.58,31.0,1623.0
A,Development,Vue JS Developers,118.58,31.0,3702.0
A,Development,Vue JS Developers,118.58,31.0,3051.0
A,Development,Vue JS Developers,118.58,31.0,1941.0
A,Development,Vue JS Developers,118.58,31.0,912.0
A,Development,Vue JS Developers,118.58,31.0,3703.0
A,Development,Vue JS Developers,118.58,31.0,1618.0
A,Development,Vue JS Developers,118.58,31.0,2914.0
A,Development,Vue JS Developers,118.58,31.0,1226.0
A,Development,Unity 3D Developers,28.27,46.0,2414.0
A,Development,Unity 3D Developers,28.27,46.0,3530.0
A,Development,Unity 3D Developers,28.27,46.0,196.0
A,Development,Unity 3D Developers,28.27,46.0,4137.0
A,Development,Unity 3D Developers,28.27,46.0,4816.0
A,Development,Unity 3D Developers,28.27,46.0,1008.0
A,Development,Unity 3D Developers,28.27,46.0,1424.0
A,Development,Unity 3D Developers,28.27,46.0,2743.0
A,Development,Unity 3D Developers,28.27,46.0,4319.0
A,Development,Unity 3D Developers,28.27,46.0,248.0
A,Development,Unity 3D Developers,28.27,46.0,3322.0
A,Development,Unity 3D Developers,28.27,46.0,2949.0
A,Development,Software QA Testers,13.18,37.0,1727.0
A,Development,Software QA Testers,13.18,37.0,1008.0
A,Development,Software QA Testers,13.18,37.0,672.0
A,Development,Software QA Testers,13.18,37.0,2226.0
A,Development,Software QA Testers,13.18,37.0,2627.0
A,Development,Software QA Testers,13.18,37.0,4141.0
A,Development,Software QA Testers,13.18,37.0,1318.0
A,Development,Software QA Testers,13.18,37.0,971.0
A,Development,Software QA Testers,13.18,37.0,4398.0
A,Development,Software QA Testers,13.18,37.0,2098.0
A,Development,Software QA Testers,13.18,37.0,3235.0
A,Development,Software QA Testers,13.18,37.0,3285.0
A,Development,Software Developers,27.94,40.0,854.0
A,Development,Software Developers,27.94,40.0,1026.0
A,Development,Software Developers,27.94,40.0,4167.0
A,Development,Software Developers,27.94,40.0,1175.0
A,Development,Software Developers,27.94,40.0,1399.0
A,Development,Software Developers,27.94,40.0,316.0
A,Development,Software Developers,27.94,40.0,3835.0
A,Development,Software Developers,27.94,40.0,4079.0
A,Development,Software Developers,27.94,40.0,2610.0
A,Development,Software Developers,27.94,40.0,479.0
A,Development,Software Developers,27.94,40.0,2354.0
A,Development,Software Developers,27.94,40.0,4748.0
A,Development,Shopify Developers,18.7,59.0,2780.0
A,Development,Shopify Developers,18.7,59.0,4017.0
A,Development,Shopify Developers,18.7,59.0,1856.0
A,Development,Shopify Developers,18.7,59.0,1692.0
A,Development,Shopify Developers,18.7,59.0,155.0
A,Development,Shopify Developers,18.7,59.0,762.0
A,Development,Shopify Developers,18.7,59.0,1122.0
A,Development,Shopify Developers,18.7,59.0,4136.0
A,Development,Shopify Developers,18.7,59.0,2463.0
A,Development,Shopify Developers,18.7,59.0,4149.0
A,Development,Shopify Developers,18.7,59.0,404.0
A,Development,Shopify Developers,18.7,59.0,1471.0
A,Development,Scala Developers,17.13,27.0,4422.0
A,Development,Scala Developers,17.13,27.0,3704.0
A,Development,Scala Developers,17.13,27.0,531.0
A,Development,Scala Developers,17.13,27.0,918.0
A,Development,Scala Developers,17.13,27.0,784.0
A,Development,Scala Developers,17.13,27.0,154.0
A,Development,Scala Developers,17.13,27.0,1816.0
A,Development,Scala Developers,17.13,27.0,260.0
A,Development,Scala Developers,17.13,27.0,719.0
A,Development,Scala Developers,17.13,27.0,102.0
A,Development,Scala Developers,17.13,27.0,4229.0
A,Development,Scala Developers,17.13,27.0,579.0
A,Development,Rust Developers,15.98,15.0,4453.0
A,Development,Rust Developers,15.98,15.0,186.0
A,Development,Rust Developers,15.98,15.0,825.0
A,Development,Rust Developers,15.98,15.0,3498.0
A,Development,Rust Developers,15.98,15.0,36.0
A,Development,Rust Developers,15.98,15.0,2165.0
A,Development,Rust Developers,15.98,15.0,1357.0
A,Development,Rust Developers,15.98,15.0,2370.0
A,Development,Rust Developers,15.98,15.0,2331.0
A,Development,Rust Developers,15.98,15.0,407.0
A,Development,Rust Developers,15.98,15.0,2761.0
A,Development,Rust Developers,15.98,15.0,2680.0
A,Development,Ruby on Rails Developers,274.16,37.0,2821.0
A,Development,Ruby on Rails Developers,274.16,37.0,1115.0
A,Development,Ruby on Rails Developers,274.16,37.0,2003.0
A,Development,Ruby on Rails Developers,274.16,37.0,3693.0
A,Development,Ruby on Rails Developers,274.16,37.0,1477.0
A,Development,Ruby on Rails Developers,274.16,37.0,4291.0
A,Development,Ruby on Rails Developers,274.16,37.0,600.0
A,Development,Ruby on Rails Developers,274.16,37.0,608.0
A,Development,Ruby on Rails Developers,274.16,37.0,2726.0
A,Development,Ruby on Rails Developers,274.16,37.0,3849.0
A,Development,Ruby on Rails Developers,274.16,37.0,3249.0
A,Development,Ruby on Rails Developers,274.16,37.0,4749.0
A,Development,Ruby Developers,15.18,23.0,4589.0
A,Development,Ruby Developers,15.18,23.0,4372.0
A,Development,Ruby Developers,15.18,23.0,644.0
A,Development,Ruby Developers,15.18,23.0,3424.0
A,Development,Ruby Developers,15.18,23.0,4382.0
A,Development,Ruby Developers,15.18,23.0,4320.0
A,Development,Ruby Developers,15.18,23.0,3662.0
A,Development,Ruby Developers,15.18,23.0,470.0
A,Development,Ruby Developers,15.18,23.0,803.0
A,Development,Ruby Developers,15.18,23.0,4812.0
A,Development,Ruby Developers,15.18,23.0,3193.0
A,Development,Ruby Developers,15.18,23.0,4492.0
A,Development,React Native Developers,131.87,47.0,562.0
A,Development,React Native Developers,131.87,47.0,1095.0
A,Development,React Native Developers,131.87,47.0,660.0
A,Development,React Native Developers,131.87,47.0,2846.0
A,Development,React Native Developers,131.87,47.0,3201.0
A,Development,React Native Developers,131.87,47.0,4728.0
A,Development,React Native Developers,131.87,47.0,537.0
A,Development,React Native Developers,131.87,47.0,1388.0
A,Development,React Native Developers,131.87,47.0,57.0
A,Development,React Native Developers,131.87,47.0,4109.0
A,Development,React Native Developers,131.87,47.0,1278.0
A,Development,React Native Developers,131.87,47.0,3317.0
A,Development,Python Developers,14.26,45.0,2868.0
A,Development,Python Developers,14.26,45.0,3212.0
A,Development,Python Developers,14.26,45.0,932.0
A,Development,Python Developers,14.26,45.0,3678.0
A,Development,Python Developers,14.26,45.0,4212.0
A,Development,Python Developers,14.26,45.0,4818.0
A,Development,Python Developers,14.26,45.0,3207.0
A,Development,Python Developers,14.26,45.0,698.0
A,Development,Python Developers,14.26,45.0,101.0
A,Development,Python Developers,14.26,45.0,3347.0
