Competitor_ID,Vertical_Category,Primary_Skill,Primary_Skill_CPC_USD,Primary_Skill_PPC,Related_Skill,Related_Skill_CPC_USD,Related_Skill_PPC,#_of_Jobs
A,Development,WordPress Developers,46.47,32.0,Woocommerce Developers,65.48,38.0,863.0
A,Development,WordPress Developers,46.47,32.0,GoDaddy Freelancers,24.82042253521132,24.82042253521132,1171.0
A,Development,WordPress Developers,46.47,32.0,PHP Developers,165.3,26.0,1799.0
A,Development,WordPress Developers,46.47,32.0,Landing Page Specialists,24.82042253521132,24.82042253521132,389.0
A,Development,WordPress Developers,46.47,32.0,CSS3 Developers,24.82042253521132,6.0,2716.0
A,Development,WordPress Developers,46.47,32.0,HTML Developers,9.9,31.0,222.0
A,Development,WordPress Developers,46.47,32.0,CSS Developers,29.91,33.0,2456.0
A,Development,WordPress Developers,46.47,32.0,Elementor Experts,8.77,40.0,4048.0
A,Development,WordPress Developers,46.47,32.0,HTML5 Developers,24.82042253521132,17.0,4113.0
A,Development,WordPress Developers,46.47,32.0,Mockup Freelancers,24.82042253521132,24.82042253521132,3502.0
A,Development,WordPress Developers,46.47,32.0,JavaScript Developers,53.18,35.0,152.0
A,Development,WordPress Developers,46.47,32.0,Web Designers,22.33,36.0,2115.0
A,Development,Web Developers,22.33,36.0,Phalcon Specialists,24.82042253521132,24.82042253521132,1857.0
A,Development,Web Developers,22.33,36.0,Amazon Relational Database Service Specialists,24.82042253521132,24.82042253521132,1584.0
A,Development,Web Developers,22.33,36.0,FFmpeg Specialists,24.82042253521132,24.82042253521132,1569.0
A,Development,Web Developers,22.33,36.0,Affinity Designer Freelancers,24.82042253521132,24.82042253521132,4768.0
A,Development,Web Developers,22.33,36.0,Seologies Specialists,24.82042253521132,24.82042253521132,3948.0
A,Development,Web Developers,22.33,36.0,Database Administrators,6.77,20.0,1876.0
A,Development,Web Developers,22.33,36.0,GUI Designers,24.82042253521132,12.0,458.0
A,Development,Web Developers,22.33,36.0,Microsoft SQL Server Service Broker Specialists,24.82042253521132,24.82042253521132,4509.0
A,Development,Web Developers,22.33,36.0,phpMyAdmin Specialists,24.82042253521132,24.82042253521132,2841.0
A,Development,Web Developers,22.33,36.0,phpMyDirectory Specialists,24.82042253521132,24.82042253521132,1707.0
A,Development,Web Developers,22.33,36.0,Nest.js Freelancers,24.82042253521132,24.82042253521132,1498.0
A,Development,Web Developers,22.33,36.0,XAML Specialists,24.82042253521132,24.82042253521132,4789.0
A,Development,Vue JS Developers,118.58,31.0,Sass Specialists,24.82042253521132,24.82042253521132,3770.0
A,Development,Vue JS Developers,118.58,31.0,SCSS Freelancers,24.82042253521132,24.82042253521132,3532.0
A,Development,Vue JS Developers,118.58,31.0,Bootstrap Specialists,24.82042253521132,24.82042253521132,4962.0
A,Development,Vue JS Developers,118.58,31.0,Node.js Developers & Programmers,24.82042253521132,24.82042253521132,1623.0
A,Development,Vue JS Developers,118.58,31.0,Web Application Developers,97.87,6.0,3702.0
A,Development,Vue JS Developers,118.58,31.0,MongoDB Developers,4.38,10.0,3051.0
A,Development,Vue JS Developers,118.58,31.0,Laravel Developers,135.04,62.0,1941.0
A,Development,Vue JS Developers,118.58,31.0,Firebase Specialists,24.82042253521132,24.82042253521132,912.0
A,Development,Vue JS Developers,118.58,31.0,Vuex Freelancers,24.82042253521132,24.82042253521132,3703.0
A,Development,Vue JS Developers,118.58,31.0,AngularJS Developers,177.2,48.0,1618.0
A,Development,Vue JS Developers,118.58,31.0,React.js Developers,94.28,45.0,2914.0
A,Development,Vue JS Developers,118.58,31.0,TypeScript Developers,28.27,19.0,1226.0
A,Development,Unity 3D Developers,28.27,46.0,Android Developers,7.18,31.0,2414.0
A,Development,Unity 3D Developers,28.27,46.0,Virtual Reality Developers,11.57,36.0,3530.0
A,Development,Unity 3D Developers,28.27,46.0,Xamarin Specialists,24.82042253521132,24.82042253521132,196.0
A,Development,Unity 3D Developers,28.27,46.0,Mobile Game Developers,16.18,28.0,4137.0
A,Development,Unity 3D Developers,28.27,46.0,Game Developers,12.18,33.0,4816.0
A,Development,Unity 3D Developers,28.27,46.0,Windows Freelancers,24.82042253521132,24.82042253521132,1008.0
A,Development,Unity 3D Developers,28.27,46.0,Game Designers,8.0,30.0,1424.0
A,Development,Unity 3D Developers,28.27,46.0,3D Freelancers,3.51,49.0,2743.0
A,Development,Unity 3D Developers,28.27,46.0,C# Developers & Programmers,24.82042253521132,24.82042253521132,4319.0
A,Development,Unity 3D Developers,28.27,46.0,Unreal Engine Developers,35.42,50.0,248.0
A,Development,Unity 3D Developers,28.27,46.0,Augmented Reality Developers,18.37,24.0,3322.0
A,Development,Unity 3D Developers,28.27,46.0,Cocos2d Developers,24.82042253521132,14.0,2949.0
A,Development,Software QA Testers,13.18,37.0,Web Testing Specialists,24.82042253521132,24.82042253521132,1727.0
A,Development,Software QA Testers,13.18,37.0,Automated Testing Specialists,24.82042253521132,24.82042253521132,1008.0
